average_distance_travelled,average_fill_percent,deployment_cost,num_bikes,num_empty_bikes,profit,total_fare_collected,vacant_seats
fare_per_dist
2.5499999999999994,33.333333333333336,55.11000000000001,75,49,92.38999999999996,147.49999999999997,4
2.555999999999999,31.44444444444444,53.32500000000002,75,50,90.17499999999995,143.49999999999997,5
2.2545454545454544,28.0,43.54500000000001,75,53,94.65499999999997,138.2,4
2.1719999999999997,32.333333333333336,50.0475,75,50,114.85249999999998,164.89999999999998,3
2.5434782608695654,29.0,48.712500000000006,75,52,106.7875,155.5,3
2.117857142857143,36.19047619047619,58.05000000000002,75,47,125.45000000000002,183.50000000000003,6
2.2653846153846153,34.333333333333336,52.44750000000002,75,49,114.55250000000001,167.00000000000003,1
2.2259259259259254,33.666666666666664,55.185,75,48,113.51500000000001,168.70000000000002,6
2.2807692307692307,33.07936507936508,55.49250000000001,75,49,120.9075,176.4,7
2.8310344827586205,35.94603174603174,70.44750000000005,75,46,111.6525,182.10000000000005,21
2.7615384615384615,32.88888888888889,58.23000000000002,75,49,106.96999999999997,165.2,4
2.452173913043478,30.333333333333332,47.640000000000015,75,52,94.66,142.3,1
2.8034482758620687,36.72380952380952,70.83000000000004,75,46,120.36999999999995,191.2,15
2.2884615384615383,34.0,53.28750000000003,75,49,100.3125,153.60000000000002,1
2.735999999999999,32.55555555555556,54.465000000000025,75,50,90.03499999999997,144.5,2
2.3357142857142854,34.857142857142854,60.247499999999995,75,47,122.75250000000003,183.00000000000003,10
2.596666666666666,35.997588908981314,73.30500000000005,79,49,159.29499999999996,232.6,11
2.3655172413793095,34.7799879445449,64.23750000000004,79,50,127.76249999999996,192.0,14
2.204,29.113924050632907,51.59250000000001,79,54,101.20749999999998,152.79999999999998,6
2.303703703703703,33.33333333333333,57.075000000000024,79,52,109.92500000000004,167.00000000000006,2
2.3649999999999998,23.734177215189874,40.86,79,59,79.74000000000004,120.60000000000004,5
2.716666666666667,29.0084388185654,54.00750000000001,79,55,89.49249999999996,143.49999999999997,4
1.8850000000000002,24.050632911392405,37.6425,79,59,95.65750000000001,133.3,4
2.183333333333333,29.53586497890295,49.35000000000001,79,55,115.54999999999997,164.89999999999998,2
2.468,30.379746835443036,54.12000000000001,79,54,109.08000000000001,163.20000000000002,3
2.251851851851851,32.57986738999397,58.59750000000001,79,52,122.7025,181.3,14
2.322222222222222,32.0675105485232,57.300000000000004,79,52,108.5,165.8,5
2.216666666666667,22.151898734177216,35.95499999999999,79,61,99.64500000000004,135.60000000000002,2
2.3391304347826094,27.953586497890292,47.984999999999985,79,56,119.51500000000001,167.5,3
2.5629629629629624,33.438818565400844,59.677500000000016,79,52,117.32249999999999,177.0,2
2.2359999999999998,29.957805907172993,51.967500000000015,79,54,112.3325,164.3,4
